Date,Description,Amount
2025-01-05,Mortgage/BAH Housing,2600
2025-01-07,Electricity and Gas,200
2025-01-10,Water and Sewer,80
2025-01-12,Internet and Phone,105
2025-01-15,Auto Insurance (2 vehicles),210
2025-01-15,Homeowners Insurance,135
2025-01-18,Groceries,850
2025-01-18,Household Supplies,70
2025-01-20,Auto Gas (2 cars),310
2025-01-22,Car Maintenance,75
2025-01-25,Childcare/Daycare,1150
2025-01-25,Healthcare - Dental,55
2025-01-25,Life Insurance,75
2025-01-28,Dining Out,125
2025-01-28,Children Activities,100
2025-02-05,Mortgage/BAH Housing,2600
2025-02-07,Electricity and Gas,220
2025-02-10,Water and Sewer,80
2025-02-12,Internet and Phone,105
2025-02-15,Auto Insurance,210
2025-02-15,Homeowners Insurance,135
2025-02-18,Groceries,880
2025-02-18,Household Supplies,65
2025-02-20,Auto Gas,310
2025-02-21,Children Clothing,140
2025-02-22,Car Maintenance,60
2025-02-25,Healthcare - Dental,55
2025-02-25,Life Insurance,75
2025-02-28,Dining Out,135
2025-02-28,Children Activities,110
2025-03-05,Mortgage/BAH Housing,2600
2025-03-07,Electricity and Gas,210
2025-03-10,Water and Sewer,80
2025-03-12,Internet and Phone,105
2025-03-15,Auto Insurance,210
2025-03-15,Homeowners Insurance,135
2025-03-18,Groceries,870
2025-03-18,Household Supplies,70
2025-03-20,Auto Gas,310
2025-03-25,Healthcare - Dental,55
2025-03-25,Life Insurance,75
2025-03-28,Dining Out,140
2025-03-28,Children Activities,105
