Date,Description,Amount
2025-01-05,Mortgage Payment,3400
2025-01-07,Electricity and Gas,250
2025-01-10,Water and Sewer,105
2025-01-12,Internet and Phone,130
2025-01-15,Auto Insurance (2 vehicles),280
2025-01-15,Homeowners Insurance,185
2025-01-18,Groceries,1400
2025-01-18,Household Supplies,100
2025-01-20,Auto Gas (2 cars),420
2025-01-22,Car Maintenance,120
2025-01-25,Childcare/Daycare,1700
2025-01-25,Healthcare - Dental,70
2025-01-25,Life Insurance,200
2025-01-28,Dining Out,160
2025-01-28,Children Activities/Sports,180
2025-02-05,Mortgage Payment,3400
2025-02-07,Electricity and Gas,270
2025-02-10,Water and Sewer,105
2025-02-12,Internet and Phone,130
2025-02-15,Auto Insurance,280
2025-02-15,Homeowners Insurance,185
2025-02-18,Groceries,1450
2025-02-18,Household Supplies,110
2025-02-20,Auto Gas,420
2025-02-21,Children Clothing,200
2025-02-22,Car Maintenance,95
2025-02-25,Healthcare - Dental,70
2025-02-25,Life Insurance,200
2025-02-28,Dining Out,175
2025-02-28,Children Activities,190
2025-03-05,Mortgage Payment,3400
2025-03-07,Electricity and Gas,260
2025-03-10,Water and Sewer,105
2025-03-12,Internet and Phone,130
2025-03-15,Auto Insurance,280
2025-03-15,Homeowners Insurance,185
2025-03-18,Groceries,1380
2025-03-18,Household Supplies,105
2025-03-20,Auto Gas,420
2025-03-25,Healthcare - Dental,70
2025-03-25,Life Insurance,200
2025-03-28,Dining Out,180
2025-03-28,Children Activities,175
