Date,Description,Amount
2025-01-05,Mortgage/Rent Payment,2150
2025-01-07,Electricity and Gas,175
2025-01-10,Water and Sewer,70
2025-01-12,Internet and Phone,95
2025-01-15,Auto Insurance (2 vehicles),175
2025-01-15,Homeowners Insurance,95
2025-01-18,Groceries,680
2025-01-18,Household Supplies,55
2025-01-20,Auto Gas (2 cars),260
2025-01-22,Car Maintenance,60
2025-01-25,Healthcare - Dental,40
2025-01-28,Dining Out,105
2025-01-28,Entertainment/Hobbies,50
2025-02-05,Mortgage/Rent Payment,2150
2025-02-07,Electricity and Gas,190
2025-02-10,Water and Sewer,70
2025-02-12,Internet and Phone,95
2025-02-15,Auto Insurance,175
2025-02-15,Homeowners Insurance,95
2025-02-18,Groceries,700
2025-02-18,Household Supplies,50
2025-02-20,Auto Gas,260
2025-02-22,Car Maintenance,45
2025-02-25,Healthcare - Dental,40
2025-02-28,Dining Out,115
2025-02-28,Entertainment,60
2025-03-05,Mortgage/Rent Payment,2150
2025-03-07,Electricity and Gas,165
2025-03-10,Water and Sewer,70
2025-03-12,Internet and Phone,95
2025-03-15,Auto Insurance,175
2025-03-15,Homeowners Insurance,95
2025-03-18,Groceries,690
2025-03-18,Household Supplies,55
2025-03-20,Auto Gas,260
2025-03-25,Healthcare - Dental,40
2025-03-28,Dining Out,120
2025-03-28,Entertainment,55
